|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
|  59589.59409820602 | 14.18375 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59589.59409820602 | 14.45571 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
| 59550.597949386574 |  12.1706 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
| 59550.597949386574 | 12.55904 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
| 59550.597949386574 | 12.46106 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
| 59550.597949386574 | 12.41456 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
| 59550.597949386574 | 13.01028 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
| 59550.597949386574 | 13.00283 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
| 59550.597949386574 | 12.49826 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
| 59550.597949386574 | 12.46567 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
| 59550.597949386574 | 13.25197 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.51404 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.98588 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.30557 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.22644 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.60978 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59531.70277240741 | 16.39964 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.67041 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59531.70277240741 | 15.31232 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59531.70277240741 |  15.8602 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|   59531.1177321412 |      inf |  0.05 |   Vega |      U |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.87487 |  0.05 |   Vega |      B |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.50551 |  0.05 |   Vega |      V |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.42067 |  0.05 |   Vega |      R |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.73166 |  0.05 |   Vega |      I |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 |      inf |  0.05 |     AB |      u |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.60347 |  0.05 |     AB |      g |        nan | nan |    GHTS_RED |     True |
|   59531.1177321412 | 15.49843 |  0.05 |     AB |      r |        nan | nan |    GHTS_RED |     True |
