name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
34242,356.715,22.890,142.852,1.1350522445630802e-05,2.0,0.070,150,0.5,MS230501o,34242,0.070
1025658,357.861,20.586,83.035,3.1961584269549028e-06,7.0,0.069,151,0.5,MS230501o,1025658,0.069
64841,356.631,21.948,125.957,2.2233626364386297e-05,1.0,0.069,152,0.9,MS230501o,64841,0.069
11850,348.552,13.582,134.048,1.1104771836252757e-05,2.0,0.068,153,0.9,MS230501o,11850,0.068
1026375,343.819,2.246,122.855,2.2058224473277017e-06,10.0,0.068,154,0.9,MS230501o,1026375,0.068
853,10.962,32.853,78.641,1.1023274039447163e-05,2.0,0.068,155,0.9,MS230501o,853,0.068
88649,349.186,13.483,74.011,1.098614487166275e-05,2.0,0.068,156,0.9,MS230501o,88649,0.068
1025360,24.578,35.365,85.640,5.474503063457329e-06,4.0,0.067,157,0.9,MS230501o,1025360,0.067
740,4.577,30.072,91.328,7.290742440135738e-06,3.0,0.067,158,0.9,MS230501o,740,0.067
1036813,5.915,30.289,113.063,1.535732981618033e-05,1.399999976158142,0.066,159,0.9,MS230501o,1036813,0.066
2435,6.154,29.287,119.688,2.149965620304769e-05,1.0,0.066,160,0.9,MS230501o,2435,0.066
1041363,4.705,30.062,115.223,1.1182758072990341e-05,1.899999976158142,0.065,161,0.9,MS230501o,1041363,0.065
22819,2.422,28.327,140.961,7.006733806638172e-06,3.0,0.065,162,0.9,MS230501o,22819,0.065
1024703,38.854,40.870,98.507,2.081551716478218e-06,10.0,0.064,163,0.9,MS230501o,1024703,0.064
857,13.176,30.639,107.379,3.203553150021509e-06,6.400000095367432,0.063,164,0.9,MS230501o,857,0.063
94683,3.039,27.910,120.166,2.0499800508337753e-05,1.0,0.063,165,0.9,MS230501o,94683,0.063
1027926,344.502,6.070,77.015,8.517929095053444e-06,2.4000000953674316,0.063,166,0.9,MS230501o,1027926,0.063
1024975,348.203,12.679,72.038,1.0191048663850708e-05,2.0,0.063,167,0.9,MS230501o,1024975,0.063
6669,0.410,26.923,125.521,1.0110130939938164e-05,2.0,0.062,168,0.9,MS230501o,6669,0.062
60893,3.039,27.910,121.752,2.0170972804041835e-05,1.0,0.062,169,0.9,MS230501o,60893,0.062
1031601,345.170,8.468,106.301,1.4304310301094707e-05,1.399999976158142,0.062,170,0.9,MS230501o,1031601,0.062
1026487,11.733,32.675,81.360,1.3328755103085252e-05,1.5,0.062,171,0.9,MS230501o,1026487,0.062
1065586,350.564,14.081,122.535,1.2477593709341174e-05,1.600000023841858,0.062,172,0.9,MS230501o,1065586,0.062
1027592,6.264,31.345,111.845,6.619051051958126e-06,3.0,0.061,173,0.9,MS230501o,1027592,0.061
8385,358.959,25.506,152.264,4.917692357595967e-06,4.0,0.061,174,0.9,MS230501o,8385,0.061
1033273,17.906,33.354,96.576,6.7794109997428865e-06,2.9000000953674316,0.061,175,0.9,MS230501o,1033273,0.061
1152620,337.062,-2.885,78.220,6.5275242189928905e-06,3.0,0.060,176,0.9,MS230501o,1152620,0.060
1030167,4.104,30.374,102.237,4.237468133686455e-06,4.599999904632568,0.060,177,0.9,MS230501o,1030167,0.060
1027683,345.825,8.894,76.498,1.0229832794467843e-05,1.899999976158142,0.060,178,0.9,MS230501o,1027683,0.060
1025802,348.089,14.609,76.866,6.467920626648965e-06,3.0,0.060,179,0.9,MS230501o,1025802,0.060
1041452,8.185,30.751,100.201,2.1532408497429083e-05,0.8999999761581421,0.060,180,0.9,MS230501o,1041452,0.060
1024862,35.835,41.951,92.709,1.7532856907421874e-06,11.0,0.059,181,0.9,MS230501o,1024862,0.059
110829,348.651,15.950,119.812,6.419567388564878e-06,3.0,0.059,182,0.9,MS230501o,110829,0.059
23161,7.410,29.645,141.169,9.590337580669683e-06,2.0,0.059,183,0.9,MS230501o,23161,0.059
1064216,349.651,15.300,119.237,1.73692420781439e-05,1.100000023841858,0.059,184,0.9,MS230501o,1064216,0.059
1027551,15.860,32.237,91.908,5.0198018341838395e-06,3.799999952316284,0.059,185,0.9,MS230501o,1027551,0.059
110810,344.053,5.384,117.117,9.484019046226702e-06,2.0,0.058,186,0.9,MS230501o,110810,0.058
1026281,10.265,31.733,76.466,1.2446033745373984e-05,1.5,0.058,187,0.9,MS230501o,1026281,0.058
21219,358.695,22.996,90.069,1.855031434688484e-05,1.0,0.057,188,0.9,MS230501o,21219,0.057
86693,28.165,36.171,83.221,4.636649394131284e-06,4.0,0.057,189,0.9,MS230501o,86693,0.057
1029934,347.964,9.507,102.644,6.181103945308629e-06,3.0,0.057,190,0.9,MS230501o,1029934,0.057
10610,4.832,30.091,124.331,9.247793877549493e-06,2.0,0.057,191,0.9,MS230501o,10610,0.057
1033694,14.423,33.351,90.587,1.4213233860914906e-05,1.2999999523162842,0.057,192,0.9,MS230501o,1033694,0.057
86639,20.916,33.256,86.856,1.0787558755504353e-06,17.0,0.057,193,0.9,MS230501o,86639,0.057
1026065,348.944,13.290,73.182,1.062966493238176e-05,1.7000000476837158,0.056,194,0.9,MS230501o,1026065,0.056
1034467,359.690,26.924,124.955,6.016232544655959e-06,3.0,0.056,195,0.9,MS230501o,1034467,0.056
1031270,13.396,31.420,92.763,5.827127905534421e-06,3.0,0.054,196,0.9,MS230501o,1031270,0.054
2302,353.724,17.297,105.409,1.0271337788429415e-05,1.7000000476837158,0.054,197,0.9,MS230501o,2302,0.054
20716,355.770,21.164,158.219,5.801732387627449e-06,3.0,0.054,198,0.9,MS230501o,20716,0.054
3794,14.866,33.137,127.960,8.69780469645692e-06,2.0,0.054,199,0.9,MS230501o,3794,0.054
34104,11.494,34.099,115.467,8.67676074484185e-06,2.0,0.053,200,0.9,MS230501o,34104,0.053
3253,350.665,16.862,151.067,5.757675572873828e-06,3.0,0.053,201,0.9,MS230501o,3253,0.053
1037931,2.938,28.499,127.161,1.2244905475464309e-05,1.399999976158142,0.053,202,0.9,MS230501o,1037931,0.053
86694,28.174,36.144,80.167,4.268382790604304e-06,4.0,0.053,203,0.9,MS230501o,86694,0.053
1016,28.157,36.127,80.865,4.268382790604304e-06,4.0,0.053,204,0.9,MS230501o,1016,0.053
86612,18.907,33.068,94.855,2.8390265883027623e-06,6.0,0.052,205,0.9,MS230501o,86612,0.052
78485,356.556,22.130,159.317,5.665541461607548e-06,3.0,0.052,206,0.9,MS230501o,78485,0.052
1025989,35.798,41.368,98.979,3.025899825126479e-06,5.599999904632568,0.052,207,0.9,MS230501o,1025989,0.052
12344,0.885,25.115,105.498,2.420552278054576e-05,0.699999988079071,0.052,208,0.9,MS230501o,12344,0.052
1027241,20.662,34.437,83.918,5.626906577652886e-06,3.0,0.052,209,0.9,MS230501o,1027241,0.052
86852,49.565,41.858,91.674,1.032981876300128e-06,16.0,0.051,210,0.9,MS230501o,86852,0.051
1034878,1.111,27.967,141.017,4.1098253683786895e-06,4.0,0.051,211,0.9,MS230501o,1034878,0.051
21259,358.591,23.179,118.317,2.3302044749291002e-05,0.699999988079071,0.050,212,0.9,MS230501o,21259,0.050
663,21.112,33.800,89.074,2.6885072316360504e-06,6.0,0.050,213,0.9,MS230501o,663,0.050
1024978,29.237,40.341,91.646,3.986411079283409e-06,4.0,0.049,214,0.9,MS230501o,1024978,0.049
20413,355.780,20.114,154.734,5.304515737345012e-06,3.0,0.049,215,0.9,MS230501o,20413,0.049
1040825,344.053,5.384,116.195,9.72698858561373e-06,1.600000023841858,0.048,216,0.9,MS230501o,1040825,0.048
1035075,28.037,39.383,112.991,4.170120635502527e-06,3.700000047683716,0.048,217,0.9,MS230501o,1035075,0.048
1038585,348.181,15.903,117.066,4.2444272935784915e-06,3.5999999046325684,0.047,218,0.9,MS230501o,1038585,0.047
82781,4.442,30.151,103.245,8.460953104349659e-06,1.7999999523162842,0.047,219,0.9,MS230501o,82781,0.047
1027290,31.824,37.097,89.713,5.057495927311077e-06,3.0,0.047,220,0.9,MS230501o,1027290,0.047
1025514,351.206,15.276,68.223,7.551888228432219e-06,2.0,0.047,221,0.9,MS230501o,1025514,0.047
1032211,20.562,34.669,89.895,7.545892788072776e-06,2.0,0.047,222,0.9,MS230501o,1032211,0.047
1037592,348.584,10.231,133.388,3.737950133091891e-06,4.0,0.046,223,0.9,MS230501o,1037592,0.046
95667,343.819,2.246,123.496,2.1243731888931116e-06,7.0,0.046,224,0.9,MS230501o,95667,0.046
2447,8.221,30.651,154.526,4.936030955459951e-06,3.0,0.046,225,0.9,MS230501o,2447,0.046
1036245,24.558,36.609,88.825,7.388862391756698e-06,2.0,0.046,226,0.9,MS230501o,1036245,0.046
9678,345.695,8.805,134.098,7.2019087416294826e-06,2.0,0.044,227,0.9,MS230501o,9678,0.044
86555,8.733,31.949,94.885,1.4305113263639735e-05,1.0,0.044,228,0.9,MS230501o,86555,0.044
1026992,17.247,32.634,90.344,3.863125543234719e-06,3.700000047683716,0.044,229,0.9,MS230501o,1026992,0.044
1035207,350.519,13.036,121.898,7.128818200705836e-06,2.0,0.044,230,0.9,MS230501o,1035207,0.044
1158038,336.648,-3.699,79.245,6.405173529398309e-06,2.200000047683716,0.043,231,0.9,MS230501o,1158038,0.043
2443,7.176,30.711,118.284,1.7532620468963112e-05,0.800000011920929,0.043,232,0.9,MS230501o,2443,0.043
23254,8.244,30.062,129.161,1.39987215238097e-05,1.0,0.043,233,0.9,MS230501o,23254,0.043
88636,348.110,13.727,77.268,1.0641756724174101e-05,1.2999999523162842,0.043,234,0.9,MS230501o,88636,0.043
1039772,15.632,33.981,87.642,1.2530937390726729e-05,1.100000023841858,0.042,235,0.9,MS230501o,1039772,0.042
1040894,20.875,34.569,113.962,6.889007755956481e-06,2.0,0.042,236,0.9,MS230501o,1040894,0.042
3926,5.380,29.662,112.181,1.949302960416768e-05,0.699999988079071,0.042,237,0.9,MS230501o,3926,0.042
