|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|  1130831 | 229.16500 |   2.78700 | 525.886 |  8.663474767920277e-08 |   24.0 |  0.11472744741506997 |   42 |        0.5 | S240910ci |  1130831 |  0.11472744741506997 |      r |     6 |     180 |       1 | 15:16:39 |  02:47:13 |  34.09 | 2024-09-12T20:29:23.800 |   54.85 | fd7dac053bcc490b93e8cb598e141e48 |         0.07 |     False |
|  1474898 | 250.04800 | -22.68500 | 550.251 | 1.1516194144036682e-07 |   18.0 |  0.11437877318314964 |   43 |        0.5 | S240910ci |  1474898 |  0.11437877318314964 |      r |     6 |     180 |       1 | 16:40:11 | -22:41:05 |  65.32 | 2024-09-12T21:52:55.720 |   24.15 | f98a4e585ba54aa79213ddbdaa519fb8 |         0.30 |     False |
|  1522723 | 240.41100 | -14.09000 | 627.201 | 2.0681582398260249e-07 |   10.0 |  0.11411630423667155 |   44 |        0.5 | S240910ci |  1522723 |  0.11411630423667155 |      r |     6 |     180 |       1 | 16:01:38 | -14:05:23 |  53.17 | 2024-09-12T21:14:22.840 |   36.07 | f1e3ffff5b984c66a63b20567ca3a53b |         0.20 |     False |
|  1565803 | 254.20200 | -25.04600 | 690.827 | 1.1454740429622378e-07 |   18.0 |  0.11376840448663605 |   45 |        0.5 | S240910ci |  1565803 |  0.11376840448663605 |      r |     6 |     180 |       1 | 16:56:48 | -25:02:45 |  69.73 | 2024-09-12T22:09:32.680 |   19.82 | ebdfe2c6f947401a9d5d289b1ca6645d |         0.33 |      True |
|  1522719 | 240.21700 | -13.37400 | 671.502 |  2.276935722034019e-07 |    9.0 |  0.11307253863341588 |   46 |        0.5 | S240910ci |  1522719 |  0.11307253863341588 |      r |     6 |     180 |       1 | 16:00:52 | -13:22:26 |  52.63 | 2024-09-12T21:13:36.280 |   36.59 | 474f34e6064442d1b1edd3d0cd0dbe25 |         0.20 |     False |
|  2555655 | 242.74400 | -15.52600 | 730.173 | 1.4525721362994128e-07 |   14.0 |   0.1122094795247335 |   47 |        0.5 | S240910ci |  2555655 |   0.1122094795247335 |      r |     6 |     180 |       1 | 16:10:58 | -15:31:33 |  55.85 | 2024-09-12T21:23:42.760 |    33.4 | a452f22b0f964bdc806170bee3199fe4 |         0.23 |     False |
|   153536 | 229.80400 |   1.63600 | 590.311 | 1.1239018567831973e-07 |   18.0 |  0.11162581843068492 |   48 |        0.5 | S240910ci |   153536 |  0.11162581843068492 |      r |     6 |     180 |       1 | 15:19:12 |  01:38:09 |  35.32 | 2024-09-12T20:31:57.160 |   53.64 | fd3076cadf1e4922a4304db40b284509 |         0.07 |     False |
|  1252689 | 230.63000 |  -0.47200 | 635.611 |  7.450994560007481e-08 |   27.0 |  0.11100479238334272 |   49 |        0.5 | S240910ci |  1252689 |  0.11100479238334272 |      r |     6 |     180 |       1 | 15:22:31 | -00:28:19 |   37.3 | 2024-09-12T20:35:15.400 |    51.7 | dd4e94dabfaa4ac99715693bdf86d699 |         0.07 |     False |
|  1522842 | 241.92900 | -14.53800 | 586.637 | 1.5436131417166943e-07 |   13.0 |   0.1107249564390415 |   50 |        0.5 | S240910ci |  1522842 |   0.1107249564390415 |      r |     6 |     180 |       1 | 16:07:42 | -14:32:16 |  54.65 | 2024-09-12T21:20:27.160 |   34.57 | 44df326278114604bc6080ac5789253f |         0.20 |     False |
|  1653757 | 243.29200 | -17.40200 | 471.459 |  6.684793740046929e-08 |   30.0 |  0.11065548851734767 |   51 |        0.5 | S240910ci |  1653757 |  0.11065548851734767 |      r |     6 |     180 |       1 | 16:13:10 | -17:24:07 |  57.26 | 2024-09-12T21:25:54.280 |   32.06 | e5bd880518444758b04a8985b0ed703d |         0.23 |     False |
|   798012 | 231.59500 |   0.89400 | 612.466 | 1.0017404624561483e-07 |   20.0 |  0.11054749288959755 |   52 |        0.5 | S240910ci |   798012 |  0.11054749288959755 |      r |     6 |     180 |       1 | 15:26:22 |  00:53:38 |  37.16 | 2024-09-12T20:39:07.000 |   51.77 | 2fda3bfe74e94851832f8085976f998a |         0.07 |     False |
|  1470740 | 249.04300 | -21.91200 | 747.657 |  2.155215834331183e-07 |    9.0 |  0.10702782596592036 |   53 |        0.5 | S240910ci |  1470740 |  0.10702782596592036 |      r |     6 |     180 |       1 | 16:36:10 | -21:54:43 |  64.15 | 2024-09-12T21:48:54.520 |   25.29 | 662d9985205b4f3bbb5c0a3af27f48b0 |         0.27 |     False |
|  1522840 | 241.89200 | -16.02700 | 715.395 | 1.9312264440557783e-07 |   10.0 |  0.10656058323662818 |   54 |        0.5 | S240910ci |  1522840 |  0.10656058323662818 |      r |     6 |     180 |       1 | 16:07:34 | -16:01:37 |  55.41 | 2024-09-12T21:20:18.280 |   33.88 | 4438cdcee390433ba909a21a1b440cda |         0.20 |     False |
|  1260348 | 254.24700 | -25.57100 | 637.925 | 1.2801286616966376e-07 |   15.0 |   0.1059517715226333 |   55 |        0.5 | S240910ci |  1260348 |   0.1059517715226333 |      r |     6 |     180 |       1 | 16:56:59 | -25:34:15 |  69.95 | 2024-09-12T22:09:43.480 |   19.65 | f585d20ea9824282b6253f9bdef3201f |         0.33 |      True |
|  1522795 | 241.21200 | -14.45100 | 812.772 | 1.7240038101685004e-07 |   11.0 |  0.10463913595112428 |   56 |        0.5 | S240910ci |  1522795 |  0.10463913595112428 |      r |     6 |     180 |       1 | 16:04:50 | -14:27:03 |  54.02 | 2024-09-12T21:17:35.080 |   35.22 | a42e27ef64194c69b83c9f17f781e2ce |         0.20 |     False |
