|   obsdate |    mag | e_mag | magsys |  filter | depth_5sig | zp |    observatory | detected | A_filter |
| 59532.511 | 15.051 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59532.628 | 14.902 |  0.04 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
|  59532.63 | 14.872 |  0.04 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59532.633 | 14.447 |  0.03 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59532.634 | 14.437 |  0.03 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59532.636 | 14.532 |  0.03 |     AB |       g |            |    | LasCumbres0.4m |     True |   -0.288 |
| 59532.639 | 14.512 |  0.03 |     AB |       g |            |    | LasCumbres0.4m |     True |   -0.288 |
| 59532.641 | 14.397 |  0.03 |     AB |       r |            |    | LasCumbres0.4m |     True |   -0.173 |
| 59532.643 | 14.457 |  0.03 |     AB |       r |            |    | LasCumbres0.4m |     True |   -0.173 |
| 59532.645 | 14.951 |  0.05 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
| 59532.646 | 14.941 |  0.05 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
| 59532.805 |   14.6 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.806 | 14.796 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59532.809 | 14.736 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59532.812 | 14.592 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59532.814 | 14.592 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59532.815 | 14.367 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59532.817 | 14.347 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59532.818 | 14.332 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
|  59532.82 | 14.312 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59532.822 | 14.347 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59532.823 | 14.347 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59532.825 | 14.931 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59532.826 | 14.911 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59533.014 |  14.53 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
|  59533.05 |  14.48 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59533.103 |  14.45 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
|  59533.14 |  14.42 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59533.345 |  17.05 |  0.07 |     AB |    UVW1 |            |    |          Swift |     True |    -99.9 |
| 59533.347 |  15.39 |  0.05 |   Vega |     U_S |            |    |          Swift |     True |    -99.9 |
| 59533.348 |  14.57 |  0.04 |   Vega |     B_S |            |    |          Swift |     True |    -99.9 |
| 59533.349 |  18.22 |  0.11 |     AB |    UVW2 |            |    |          Swift |     True |    -99.9 |
| 59533.353 |  14.21 |  0.04 |   Vega |     V_S |            |    |          Swift |     True |    -99.9 |
| 59533.354 |   20.3 | 100.0 |     AB |    UVM2 |            |    |          Swift |     True |    -99.9 |
| 59533.423 | 14.336 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59533.426 | 14.286 |  0.03 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59533.429 | 14.232 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59533.431 | 14.222 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59533.432 | 14.047 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59533.434 | 14.047 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59533.435 | 13.982 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59533.437 | 13.982 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59533.439 | 14.057 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
|  59533.44 | 14.067 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59533.442 | 14.581 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59533.443 | 14.601 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
|  59533.51 |  14.29 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59533.536 |  14.23 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59533.635 | 14.102 |  0.03 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59533.637 | 14.122 |  0.02 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
|  59533.64 | 13.897 |  0.02 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59533.641 | 13.907 |  0.02 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59533.651 | 14.461 |  0.04 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
| 59533.653 | 14.461 |  0.03 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
| 59533.782 | 14.026 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59533.784 | 14.006 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59533.787 | 13.932 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59533.789 | 13.942 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59533.791 | 13.897 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59533.792 | 13.897 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59533.794 | 13.752 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59533.795 | 13.752 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59533.797 | 13.897 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59533.799 | 13.897 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59533.801 | 14.441 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59534.046 |  14.07 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59534.093 |  14.03 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59534.421 | 13.516 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59534.424 | 13.516 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59534.427 | 13.642 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59534.429 | 13.652 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
|  59534.43 | 13.637 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59534.432 | 13.637 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59534.433 | 13.482 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59534.435 | 13.492 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59534.437 | 13.627 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59534.438 | 13.627 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
|  59534.44 | 14.141 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59534.441 | 14.141 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59534.519 |   13.8 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59534.641 | 13.592 |  0.04 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59534.644 | 13.582 |  0.02 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59534.647 | 13.477 |  0.02 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59534.648 | 13.507 |  0.02 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
