ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
10822156,42.688158,-31.138704,12,0,70,4,4,18,24,11,9,0.988,18.1667,0.0287,17.8291,0.0376,16.6799,0.0038,16.3667,0.0034,16.1818,0.0066,16.1458,0.0077
10822157,42.679712,-31.127085,12,0,62,2,3,18,22,9,8,0.985,19.0781,0.0978,18.7833,0.0582,16.5639,0.0038,15.8955,0.0034,15.4661,0.0064,15.2953,0.0075
10822158,42.721980,-31.113570,10,0,60,3,4,16,21,9,7,0.991,18.1160,0.0292,17.8584,0.0167,16.4249,0.0038,16.0536,0.0035,15.8307,0.0063,15.7636,0.0086
10822162,42.707501,-31.106066,15,0,61,5,4,15,22,9,6,0.987,18.1353,0.0207,17.8187,0.0473,15.6214,0.0093,14.9972,0.0109,14.5848,0.0231,14.4075,0.0387
10822164,42.731329,-31.099499,7,0,51,1,2,13,21,8,6,0.983,18.8177,0.2829,18.6285,0.0402,17.3085,0.0044,16.9071,0.0038,16.6652,0.0077,16.5730,0.0149
10822177,42.733768,-31.076591,4,0,54,2,2,14,19,9,8,0.984,18.1152,0.0424,17.6428,0.0269,16.8540,0.0044,16.6341,0.0038,16.5190,0.0076,16.5072,0.0109
10822161,42.700068,-31.091376,6,0,43,0,1,13,18,6,5,0.982,,,19.3173,0.1461,18.8941,0.0075,18.5755,0.0078,18.3497,0.0131,18.3336,0.0478
10822385,42.690400,-31.077178,9,0,51,0,2,14,20,8,7,0.983,,,19.4636,0.0790,17.5964,0.0087,17.0439,0.0132,16.4576,0.0566,16.2125,0.0688
10822387,42.706395,-31.063096,3,0,36,0,0,10,16,5,5,0.975,,,,,19.4842,0.0109,18.7920,0.0084,18.3099,0.0216,18.1289,0.0272
10822388,42.722954,-31.045318,0,0,25,0,0,3,10,5,7,0.967,,,,,19.8243,0.0460,18.9129,0.0131,18.1133,0.0119,17.8062,0.0240
10821960,42.643683,-31.100695,0,0,17,0,0,3,6,5,3,0.678,,,,,18.9143,0.1124,18.6039,0.0737,18.3508,0.0987,18.2501,0.1400
10821959,42.638070,-31.086829,0,0,12,0,3,2,4,3,0,0.970,,,19.5679,0.0428,19.4782,0.0298,19.2849,0.0199,19.4046,0.0444,,
10821961,42.657929,-31.073826,4,0,44,0,0,13,17,7,7,0.983,,,,,17.9407,0.0054,17.2487,0.0042,16.7623,0.0084,16.5454,0.0114
10821957,42.593724,-31.085549,0,0,39,0,0,12,17,6,4,0.982,,,,,19.7953,0.0105,18.8670,0.0068,17.2106,0.0092,16.5362,0.0111
10821962,42.614475,-31.081048,3,0,34,0,0,12,16,4,2,0.972,,,,,19.6814,0.0148,19.3278,0.0091,19.0022,0.0163,18.9014,0.0227
10821968,42.618471,-31.055614,0,0,38,0,0,9,12,8,9,0.981,,,,,19.4083,0.0221,18.5474,0.0067,17.3820,0.0130,16.9330,0.0089
10822390,42.681774,-31.046334,0,0,24,0,0,5,11,4,4,0.530,,,,,19.0230,0.0966,18.5820,0.0677,18.2144,0.1385,18.2326,0.1269
10822391,42.687976,-31.045974,0,0,23,0,0,5,11,5,2,0.571,,,,,19.2190,0.0532,18.9051,0.0412,18.8290,0.0515,18.5814,0.1470
10822392,42.703949,-31.031022,7,0,44,4,4,9,10,9,8,0.984,18.1060,0.0278,17.7939,0.0184,16.9007,0.0069,16.6415,0.0069,16.4909,0.0089,16.4561,0.0102
10821971,42.654275,-31.032150,3,0,16,0,0,5,6,4,1,0.969,,,,,19.2730,0.0166,18.9457,0.0187,18.8523,0.0458,18.5664,0.0873
10821972,42.659092,-31.036439,10,0,34,1,1,8,10,7,7,0.983,19.7454,0.0238,19.5115,0.0500,17.5049,0.0068,16.9531,0.0072,16.6125,0.0095,16.4882,0.0117
