obj ra dec priority note dist ebv muvmag maxaxis minaxis
173 188.68 2.22 63547.68 "[83450, 83460, 84747, 87840, 87856, 1024474, 2376506, 2381510]" 100 0 -20 10 10
174 77.38 -37.0 63493.867 "[1150798, 1170005]" 100 0 -20 10 10
175 333.9 -37.0 63364.184 "[1151017, 1325926, 2619941, 2620050]" 100 0 -20 10 10
177 338.14 -13.68 63295.29 "[1151242, 1324884]" 100 0 -20 10 10
176 289.38 -60.32 63295.29 "[1328568, 1330565]" 100 0 -20 10 10
178 182.32 39.32 63224.0 "[85512, 87709, 89952, 89954, 1024459, 2356269, 2356271, 22289152]" 100 0 -20 10 10
179 347.68 -28.52 63190.48 "[1150812, 2648548, 2648553]" 100 0 -20 10 10
180 93.28 -27.46 63145.88 "[1151520, 7611383]" 100 0 -20 10 10
181 183.38 54.16 63127.383 "[89207, 1025249]" 100 0 -20 10 10
188 330.72 -51.84 63095.76 [1151147] 100 0 -20 10 10
193 295.74 -58.2 63095.76 [1150833] 100 0 -20 10 10
192 230.02 -11.56 63095.76 [1151641] 100 0 -20 10 10
191 213.06 -5.2 63095.76 [1150958] 100 0 -20 10 10
190 109.18 -62.44 63095.76 [1261217] 100 0 -20 10 10
189 77.38 -38.06 63095.76 [1150798] 100 0 -20 10 10
185 67.84 -55.02 63095.76 [1261113] 100 0 -20 10 10
187 315.88 -67.74 63095.76 [1151290] 100 0 -20 10 10
186 315.88 -66.68 63095.76 [1151290] 100 0 -20 10 10
184 286.2 -47.6 63095.76 [1151606] 100 0 -20 10 10
183 39.22 11.76 63095.76 [1024925] 100 0 -20 10 10
182 283.02 -59.26 63095.76 [1151259] 100 0 -20 10 10
194 199.28 -26.4 62921.168 "[1156123, 1261121, 1330029, 2417828, 13457461]" 100 0 -20 10 10
195 169.6 3.28 62839.58 "[87533, 89885, 1024668, 1025548]" 100 0 -20 10 10
196 193.98 7.52 62356.41 "[1909, 84134, 87933, 1024722, 1044166]" 100 0 -20 10 10
197 155.82 12.82 61330.28 "[4305, 84996, 87407, 1038012, 1044016]" 100 0 -20 10 10
198 208.82 59.46 61303.7 "[335, 1030, 1024801, 2459428]" 100 0 -20 10 10
199 330.72 -21.1 60218.703 "[1150853, 1151806, 1330832]" 100 0 -20 10 10
200 162.18 -31.7 60118.703 "[1150970, 1155134]" 100 0 -20 10 10
201 50.88 -3.08 60060.953 "[1151452, 1152688, 1328917]" 100 0 -20 10 10
202 170.66 38.26 59370.29 "[84553, 84554, 87547, 1024811, 1030169, 1042278, 2307879, 2308274, 22266417]" 100 0 -20 10 10
203 190.8 10.7 58478.88 "[285, 87904, 1024520, 2387317, 2387383]" 100 0 -20 10 10
204 345.56 16.0 58087.01 "[1024670, 1024738, 1025104, 1026749, 1044301, 2643679]" 100 0 -20 10 10
205 40.28 -8.38 57779.426 "[1150819, 1151472, 1161402, 1170522, 1328838, 2105974]" 100 0 -20 10 10
206 189.74 11.76 57658.312 "[521, 83474, 1024427, 1024891]" 100 0 -20 10 10
207 168.54 47.8 57242.836 "[85674, 1024565, 1025043]" 100 0 -20 10 10
208 187.62 8.58 56932.62 "[5, 472, 541, 83435, 87827, 87839, 1024421, 1024842, 1025167, 1042566, 2373782, 2373793]" 100 0 -20 10 10
209 183.38 7.52 56924.93 "[83317, 92601, 105504, 1024758, 1025734, 2360263]" 100 0 -20 10 10
210 206.7 41.44 56921.082 "[314, 619, 83592, 2443789]" 100 0 -20 10 10
211 228.96 42.5 56741.65 "[1024598, 1024993]" 100 0 -20 10 10
212 102.82 60.52 56741.65 "[87040, 1024573]" 100 0 -20 10 10
213 183.38 12.82 56456.96 "[11, 1447, 83312, 83315, 87732, 89450, 1024571, 1024983, 2357517, 2357639, 2360708, 2360743, 2360751, 2363380, 2363383]" 100 0 -20 10 10
214 190.8 7.52 55672.223 "[83501, 1024600, 1025086]" 100 0 -20 10 10
215 169.6 18.12 55348.98 "[87524, 1024438, 1024513, 1024524, 1028097, 1068151, 2305231]" 100 0 -20 10 10
216 195.04 -29.58 55321.617 "[1152711, 1153503, 1261777, 1326278, 2403086, 2403089]" 100 0 -20 10 10
217 157.94 -27.46 55130.58 "[1151010, 1163114]" 100 0 -20 10 10
218 55.12 -22.16 54410.05 "[1150930, 1151481, 1156424, 1171258, 1171259, 1262323]" 100 0 -20 10 10
219 187.62 17.06 54396.668 "[87826, 1024447, 1025059, 1026090, 1044144]" 100 0 -20 10 10
220 87.98 -17.92 54187.297 "[1152298, 1153978, 1263146, 1329158]" 100 0 -20 10 10
221 199.28 -15.8 54112.098 "[1151616, 1153431, 1162179, 1162596, 1168791, 1168792, 1262095, 1263507, 1330014]" 100 0 -20 10 10
222 303.16 -46.54 54109.227 "[1151143, 1261657, 1264111]" 100 0 -20 10 10
223 192.92 11.76 53907.164 "[517, 1024457, 1024464, 2394851]" 100 0 -20 10 10
224 168.54 -33.82 53889.516 "[1151677, 1171480, 1264912]" 100 0 -20 10 10
225 190.8 -42.3 53380.98 "[1150947, 1171533, 1331921]" 100 0 -20 10 10
226 200.34 -22.16 52957.21 "[1151843, 1153541, 1261116, 1264981, 2421404, 22316628]" 100 0 -20 10 10
227 215.18 35.08 52908.92 "[1025359, 1042849, 2014778, 2476895, 2476913]" 100 0 -20 10 10
228 20.14 5.4 52220.82 "[214, 3996, 86618, 86624, 4067552]" 100 0 -20 10 10
229 20.14 3.28 52139.695 "[390, 2505, 84825, 1024642]" 100 0 -20 10 10
230 225.78 -7.32 51623.918 "[1150867, 1167328, 1324793, 2509454, 2509461]" 100 0 -20 10 10
231 111.3 43.56 51575.41 "[87096, 1025461]" 100 0 -20 10 10
232 214.12 36.14 51509.79 "[324, 946, 83618, 85465, 88093, 89288, 89483, 2473134, 2473136, 2473142]" 100 0 -20 10 10
233 119.78 23.42 51490.844 "[85180, 1024784, 1043923, 2153242]" 100 0 -20 10 10
234 127.2 25.54 51018.906 "[85924, 86177, 87197, 1024781, 1027225, 1039203, 2169494, 2169537]" 100 0 -20 10 10
235 209.88 55.22 50913.03 "[357, 83601]" 100 0 -20 10 10
236 187.62 7.52 50769.94 "[817, 83435, 87821, 87827, 87839, 91992, 1024421, 1024842, 1030852, 1042566]" 100 0 -20 10 10
237 30.74 14.94 50749.66 "[1025326, 2088285]" 100 0 -20 10 10
238 190.8 9.64 50619.33 "[4412, 1024520, 1042591, 2384259, 2387333]" 100 0 -20 10 10
239 50.88 -35.94 50579.906 "[1150831, 1171241, 1328919]" 100 0 -20 10 10
240 191.86 -7.32 50434.93 "[1151414, 2392174]" 100 0 -20 10 10
241 140.98 35.08 50377.57 "[4265, 1024509, 2206390, 2206420]" 100 0 -20 10 10
