recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277226,118.544571,59.298014,0.258,0.288,20152436,7,30,0.692,0.168,14.237,0.059,14.929,0.157,14.433,0.199,13.961,0.050,13.738,0.059
7277227,118.492709,59.308122,0.724,0.753,20152436,6,23,0.815,0.286,15.406,0.067,16.221,0.278,15.705,0.187,15.004,0.046,14.671,0.066
7277228,118.600731,59.310323,0.890,0.468,20152435,4,15,0.607,0.019,16.042,0.019,16.649,0.000,16.238,0.056,15.873,0.070,15.729,0.091
7277229,118.589086,59.354679,0.425,0.607,20152436,7,28,0.451,0.188,15.333,0.111,15.784,0.152,15.417,0.191,15.165,0.079,15.034,0.137
7277230,118.605903,59.343525,0.577,0.509,20152436,7,30,0.807,0.197,14.884,0.064,15.692,0.186,15.214,0.183,14.570,0.057,14.317,0.088
7277231,118.562285,59.370183,0.374,0.295,20152435,5,21,0.491,0.062,14.703,0.040,15.193,0.047,14.900,0.054,14.569,0.045,14.450,0.060
7277232,118.561995,59.370367,0.990,1.195,20152436,4,12,0.210,0.075,14.676,0.033,14.886,0.067,14.503,0.111,14.600,0.031,14.453,0.047
7277233,118.354863,59.219585,0.983,0.749,20152436,7,22,0.489,0.209,15.765,0.037,16.255,0.206,15.942,0.132,15.642,0.053,15.356,0.079
7277237,118.338668,59.267351,0.495,0.649,20152436,7,27,1.078,0.097,15.052,0.071,16.130,0.067,15.436,0.205,14.560,0.094,14.239,0.073
7277238,118.339480,59.260946,0.631,0.484,20152436,7,32,0.390,0.192,14.850,0.069,15.240,0.179,14.915,0.190,14.635,0.037,14.500,0.079
7277239,118.394965,59.274155,0.642,0.392,20152436,7,22,0.911,0.094,15.327,0.087,16.238,0.037,15.624,0.175,14.896,0.065,14.621,0.089
7277240,118.429016,59.278346,0.428,0.410,20152436,6,20,1.239,0.127,15.354,0.086,16.593,0.093,15.859,0.196,14.835,0.043,14.423,0.049
7277241,118.293985,59.300288,0.996,0.795,20152435,4,15,0.554,0.081,16.219,0.081,16.773,0.000,16.508,0.056,15.935,0.055,15.692,0.036
7277243,118.311714,59.337870,0.838,0.732,20152435,4,15,0.726,0.158,16.224,0.136,16.950,0.080,16.493,0.086,15.953,0.067,15.698,0.000
7277246,118.472601,59.362910,0.437,0.895,20152435,5,14,0.590,0.095,15.769,0.095,16.359,0.000,16.059,0.074,15.439,0.013,15.190,0.048
7277248,118.478623,59.347977,0.956,0.845,20152436,3,9,1.001,0.000,15.797,0.000,16.798,0.000,16.076,0.402,15.170,0.031,14.868,0.153
7277249,118.404877,59.374042,0.593,0.816,20152436,6,24,0.536,0.158,15.734,0.060,16.270,0.146,15.865,0.156,15.603,0.130,15.406,0.109
7277250,118.502339,59.350092,0.648,0.736,20152435,5,17,0.757,0.159,15.512,0.071,16.269,0.142,15.793,0.058,15.249,0.060,15.111,0.092
