|                               id |     ra |     dec |    ra1 |    dec1 |    ra2 |    dec2 |    ra3 |    dec3 |    ra4 |    dec4 |                  l |                   b | n_hostgalaxy |   prob_vol_x_stmass | rank | confidence |      obj |  note |              weight | filter | count | exptime | binning |   ra_hms |   dec_dms |            maxalt |                 transit | moonsep | scheduled |       fraction_obs |
| c6c3845434dc44529873dce63c946bbf | 37.033 | -23.392 | 37.481 | -22.979 | 37.484 | -23.803 | 36.583 | -23.803 | 36.586 | -22.979 |   208.601377456579 |   -67.8564932041729 |           14 |  1.0040227606638692 |   40 |        0.5 | S230830b | 19843 |  1.0040227606638692 |    g,r |   6,6 | 300,300 |     1,1 | 02:28:07 | -23:23:31 |             82.76 | 2023-08-30T08:39:02.693 |   64.35 |     False | 0.5333333333333333 |
| 7587c1b8bf884ffe957f982ee1cf0bcf | 42.105 |  -41.63 | 42.653 | -41.217 |  42.66 | -42.041 | 41.551 | -42.041 | 41.558 | -41.217 |  251.7554562302719 |  -62.04861259880508 |           46 |  1.0022578647276692 |   41 |        0.5 | S230830b | 11065 |  1.0022578647276692 |    g,r |   6,6 | 300,300 |     1,1 | 02:48:25 | -41:37:48 |              79.0 | 2023-08-30T08:59:19.973 |   66.63 |     False | 0.5666666666666667 |
| 0daa9ed96eb6454c879324a83e80352b | 39.789 |   -33.7 | 40.282 | -33.287 | 40.287 | -34.111 | 39.292 | -34.111 | 39.297 | -33.287 |  235.3695931714336 |  -65.94254189440674 |           35 |   0.999729087584019 |   42 |        0.5 | S230830b | 14661 |   0.999729087584019 |    g,r |   6,6 | 300,300 |     1,1 | 02:39:09 | -33:42:00 |             86.93 | 2023-08-30T08:50:04.133 |   65.43 |     False | 0.5666666666666667 |
| 2d31fd3beaff4781a66a7e334c5d5568 | 42.466 | -35.286 | 42.969 | -34.873 | 42.974 | -35.697 | 41.959 | -35.697 | 41.964 | -34.873 | 238.21719951749904 |   -63.5119850015191 |           39 |  0.9826749426421536 |   43 |        0.5 | S230830b | 13914 |  0.9826749426421536 |    g,r |   6,6 | 300,300 |     1,1 | 02:49:51 | -35:17:09 |             85.34 | 2023-08-30T09:00:46.613 |   67.45 |     False | 0.5333333333333333 |
| bd1070f98bd04d42a2b7e7995ff49c31 | 21.939 | -37.665 | 22.457 | -37.252 | 22.462 | -38.076 | 21.416 | -38.076 | 21.421 | -37.252 | 269.24389473324874 |  -76.98464928499382 |           19 |  0.9781521870856928 |   44 |        0.5 | S230830b | 12797 |  0.9781521870856928 |    g,r |   6,6 | 300,300 |     1,1 | 01:27:45 | -37:39:53 |             82.99 | 2023-08-30T07:38:40.133 |    51.0 |     False |                0.7 |
| 6fe322caa1e1416d96625d10c5c24071 | 43.881 |  -28.15 | 44.346 | -27.737 |  44.35 | -28.561 | 43.412 | -28.561 | 43.415 | -27.737 | 222.34484561195458 | -62.574275391390785 |           15 |  0.9664418204721844 |   45 |        0.5 | S230830b | 17395 |  0.9664418204721844 |    g,r |   6,6 | 300,300 |     1,1 | 02:55:31 | -28:08:59 |             87.52 | 2023-08-30T09:06:26.213 |   69.65 |     False |                0.5 |
| 7af55d0899ab45f4bea61f421e370354 | 23.934 | -37.665 | 24.451 | -37.252 | 24.457 | -38.076 |  23.41 | -38.076 | 23.416 | -37.252 |  264.2030853748107 |  -75.93462770350727 |           11 |  0.9656186952845038 |   46 |        0.5 | S230830b | 12799 |  0.9656186952845038 |    g,r |   6,6 | 300,300 |     1,1 | 01:35:44 | -37:39:53 |             82.98 | 2023-08-30T07:46:38.933 |   52.57 |     False | 0.6666666666666666 |
| 851817b40684495db68157d4964aae32 | 49.474 |  -41.63 | 50.021 | -41.217 | 50.028 | -42.041 | 48.919 | -42.041 | 48.926 | -41.217 | 248.40463139072355 | -56.811229430924605 |           41 |  0.9630941168283187 |   47 |        0.5 | S230830b | 11072 |  0.9630941168283187 |    g,r |   6,6 | 300,300 |     1,1 | 03:17:53 | -41:37:48 |             78.99 | 2023-08-30T09:28:48.533 |   72.11 |     False |                0.5 |
| b88ebf0da7f64b07900020c76baacb57 | 41.969 | -32.115 | 42.453 | -31.702 | 42.458 | -32.526 |  41.48 | -32.526 | 41.485 | -31.702 | 231.16034984406323 |  -64.29030167744452 |           27 |  0.9522849991633665 |   48 |        0.5 | S230830b | 15427 |  0.9522849991633665 |    g,r |   6,6 | 300,300 |     1,1 | 02:47:52 | -32:06:54 |             88.51 | 2023-08-30T08:58:47.333 |   67.42 |     False | 0.5333333333333333 |
| 74ad2087f1254a8c927610fce9ed65e6 |  49.43 | -32.115 | 49.914 | -31.702 | 49.919 | -32.526 | 48.941 | -32.526 | 48.946 | -31.702 | 230.82754009465197 |  -57.97409694872412 |           38 |  0.9445090811038083 |   49 |        0.5 | S230830b | 15435 |  0.9445090811038083 |    g,r |   6,6 | 300,300 |     1,1 | 03:17:43 | -32:06:54 |              88.5 | 2023-08-30T09:28:37.973 |   73.66 |     False |                0.5 |
